itemId,brand,name,price,link,rating,reviews_count,product_type,for_whom,skin_type,area,volume
19000106995,holika holika,holika holika,2916.0,https://goldapple.kz/19000106995-prime-youth-black-snail-repair-foam-cleanser,4.1,110,пенка для лица,unisex,all,face,50 мл
1492300012,gillette,gillette,2489.0,https://goldapple.kz/1492300012-arctic-ice,4.7,230,дезодорант-антиперспирант,men,all,body,70 мл
19000470381,lolidom,lolidom,1970.0,https://goldapple.kz/19000470381-tangelo,4.9,0,гель для душа,unisex,all,not_specified,400 мл
19000072894,minus 417,minus 417,15951.0,https://goldapple.kz/19000072894-mineral-aqua-perfection-moisturizer,4.8,220,крем для лица,unisex,oily,face,50 мл
19000299573,i heart revolution,i heart revolution,3352.0,https://goldapple.kz/19000299573-butterfly-dream-lip-oil,4.3,90,масло для губ,unknown,all,lips,4 мл
19000452923,olos,olosremodeling,11087.0,https://goldapple.kz/19000452923-remodeling,0.0,0,крем для тела,unisex,all,body,400 мл
19000477413,medipharma cosmetics,medipharma cosmeticshydro deo,3216.0,https://goldapple.kz/19000477413-hydro-deo,0.0,0,дезодорант,men,sensitive,body,50 мл
19000225059,гельтек,гельтек,19971.0,https://goldapple.kz/19000225059-intensive-regeneration,4.9,120,гель для лица,unisex,all,face_and_body,100 мл
19000164479,mettler 1929,mettler 1929,22049.0,https://goldapple.kz/19000164479-detox-anti-impurities-purifying-lotion,4.9,0,лосьон для лица,unisex,oily,face,200 мл
19000447758,i heart revolution,i heart revolution,2397.0,https://goldapple.kz/19000447758-jelly-shift-ph,5.0,10,масло для губ,women,all,lips,3.2 мл
19000445918,olos,olosmoisturizing,7995.0,https://goldapple.kz/19000445918-moisturizing,0.0,0,маски для лица,unisex,all,face,150 мл
19000445917,olos,olos,7995.0,https://goldapple.kz/19000445917-anti-blemish,4.9,0,крем для лица,unisex,oily,face,50 мл
19000277141,medipharma cosmetics,medipharma cosmetics,6605.0,https://goldapple.kz/19000277141-home-spa,1.0,10,скраб для тела,unisex,all,body,
19000434170,natura siberica,natura siberica,7821.0,https://goldapple.kz/19000434170-chaga-peptides,4.7,110,мицеллярная вода,women,all,face,500 мл
19000171651,always,always,3056.0,https://goldapple.kz/19000171651-ultra-platinum-super-plus,4.1,120,прокладки,unknown,not_specified,other,
19000082286,dr sebagh,dr sebagh,53062.0,https://goldapple.kz/19000082286-moisturizing-cream-vital,4.6,80,крем для лица,women,all,face,50 мл
19000321148,qod,qod,6692.0,https://goldapple.kz/19000321148-lemon-gin,4.5,150,лосьон после бритья,men,all,face,100 мл
19000194815,minus 417,minus 417,25552.0,https://goldapple.kz/19000194815-mineral-aqua-soothing-eye-cream,4.8,60,крем для глаз,unisex,sensitive,eyes,15 мл
19000312959,accoje,accoje,16800.0,https://goldapple.kz/19000312959-reviving-green-cica,4.2,40,сыворотка для лица,unisex,sensitive,face,50 мл
19000235537,seni,senilady pants large,7128.0,https://goldapple.kz/19000235537-lady-pants-large,0.0,0,unknown,unknown,not_specified,not_specified,
19000097154,minetan,minetan,19903.0,https://goldapple.kz/19000097154-wonder-tan-self-tan-foam,2.0,10,автозагар для тела,women,all,body,200 мл
19000044993,aspera,aspera,1180.0,https://goldapple.kz/19000044993-citrus-aurantium-bergamia-fruit-oil,4.8,40,эфирное масло,unisex,all,body,10 мл
19000455592,rp paris,rp paris,9667.0,https://goldapple.kz/19000455592-vanilla-sky,3.0,10,спреи и мисты для тела,women,all,body,250 мл
19000452897,olos,olosmelting,9504.0,https://goldapple.kz/19000452897-melting,0.0,0,крем для тела,unisex,all,body,250 мл
19000445914,olos,olos,7995.0,https://goldapple.kz/19000445914-phytoacid,4.9,0,крем для лица,unisex,all,face,50 мл
9400600002,erborian,erborian,33150.0,https://goldapple.kz/9400600002-ginseng-infusion-night,4.7,1050,крем для лица,women,all,face,50 мл
19000321146,qod,qod,6570.0,https://goldapple.kz/19000321146-vanilla-rum,4.6,80,лосьон после бритья,men,all,face,100 мл
25380100017,reuzel,reuzel,16027.0,https://goldapple.kz/25380100017-aftershave-lotion,4.9,270,лосьон после бритья,men,all,face,100 мл
19000022745,kora,kora,3730.0,https://goldapple.kz/19000022745-care-mask-for-oily-and-problem-skin,4.5,140,маски для лица,women,oily,face,100 мл
19000030376,savonry,savonry,4264.0,https://goldapple.kz/19000030376-hyaluronic,4.6,80,сыворотка для лица,unisex,all,face,30 мл
19000452889,olos,olos,4995.0,https://goldapple.kz/19000452889-2-in-1-purifying,4.9,0,гель для лица,unisex,oily,face,250 мл
19000118023,momotani,momotanihappiness beaute refreshing lotion,7574.0,https://goldapple.kz/19000118023-happiness-beaute-refreshing-lotion,0.0,0,крем для лица,unisex,all,face,50 мл
19000257500,kans,kans,13094.0,https://goldapple.kz/19000257500-copper-peptide-firming,4.4,130,тонер,women,all,face,130 мл
19000444750,planeta organica,planeta organica,1701.0,https://goldapple.kz/19000444750-arctica,4.2,40,маски для лица,unisex,all,face,75 мл
19000002768,reuzel,reuzelintensive care,11740.0,https://goldapple.kz/19000002768-reuzel-intensive-care-eye-cream,0.0,0,крем для глаз,men,all,eyes,30 мл
19000437807,to my skin,to my skin,4942.0,https://goldapple.kz/19000437807-active-soothing-boost,4.0,10,сыворотка для лица,unisex,all,face,30 мл
